angle_deg,inner_radius,outer_radius,thickness,inner_radius_mm,outer_radius_mm,thickness_mm
328.000,873.387085,1480.430010,607.042925,17.467742,29.608600,12.140858
329.000,873.387085,1480.448333,607.061249,17.467742,29.608967,12.141225
330.000,873.387085,1480.466657,607.079573,17.467742,29.609333,12.141591
331.000,873.387085,1480.484981,607.097897,17.467742,29.609700,12.141958
332.000,873.387085,1480.503305,607.116221,17.467742,29.610066,12.142324
333.000,873.387085,1480.521629,607.134544,17.467742,29.610433,12.142691
334.000,873.387085,1480.539953,607.152868,17.467742,29.610799,12.143057
335.000,873.387085,1480.558277,607.171192,17.467742,29.611166,12.143424
336.000,873.387085,1480.576601,607.189516,17.467742,29.611532,12.143790
337.000,873.387085,1480.594925,607.207840,17.467742,29.611899,12.144157
338.000,873.387085,1480.613249,607.226164,17.467742,29.612265,12.144523
339.000,873.387085,1480.631573,607.244488,17.467742,29.612631,12.144890
340.000,873.387085,1480.649897,607.262812,17.467742,29.612998,12.145256
341.000,873.387085,1480.668221,607.281136,17.467742,29.613364,12.145623
342.000,873.387085,1480.686545,607.299460,17.467742,29.613731,12.145989
343.000,873.387085,1480.704869,607.317784,17.467742,29.614097,12.146356
344.000,873.387085,1480.723193,607.336108,17.467742,29.614464,12.146722
345.000,873.387085,1480.741517,607.354432,17.467742,29.614830,12.147089
346.000,873.387085,1480.759841,607.372756,17.467742,29.615197,12.147455
347.000,873.387085,1480.778165,607.391080,17.467742,29.615563,12.147822
348.000,873.387085,1480.796489,607.409404,17.467742,29.615930,12.148188
349.000,873.387085,1480.814813,607.427728,17.467742,29.616296,12.148555
350.000,873.387085,1480.833137,607.446052,17.467742,29.616663,12.148921
351.000,873.387085,1480.851461,607.464376,17.467742,29.617029,12.149288
352.000,873.387085,1480.869785,607.482700,17.467742,29.617396,12.149654
353.000,873.387085,1480.888109,607.501024,17.467742,29.617762,12.150020
354.000,873.387085,1480.906433,607.519348,17.467742,29.618129,12.150387
355.000,873.387085,1480.924757,607.537672,17.467742,29.618495,12.150753
356.000,873.387085,1480.943081,607.555996,17.467742,29.618862,12.151120
357.000,873.387085,1480.961405,607.574320,17.467742,29.619228,12.151486
358.000,873.387085,1480.979728,607.592644,17.467742,29.619595,12.151853
359.000,873.387085,1480.998052,607.592644,17.467742,29.619961,12.151853
